label,family,representativeScenario,representativeDirectional,championScenario,championDirectional,directionalGap,sameAsChampion
CUR,Conventional benchmark,Stylized U.S.-like conventional benchmark,0.622647,Bicameral upper revision council,0.633288,-0.010641,no
SM,Conventional threshold,Unicameral simple majority,0.637369,Unicameral simple majority,0.637369,0.000000,yes
COMM,Agenda gate,Committee-first regular order,0.635543,Majority + public-interest screen,0.638032,-0.002489,no
DIS,Agenda gate,Committee discharge-petition target,0.627074,Majority + public-interest screen,0.638032,-0.010958,no
OPEN,Other,Open-rule floor calendar + majority,0.634152,Long-horizon strategic learning,0.659790,-0.025638,no
ACG,Anti-capture,Anti-capture proposal access + majority,0.642790,Majority + anti-capture bundle,0.651979,-0.009189,no
HARM,Distributional justice,Harm-weighted double majority,0.634192,Affected-group consent + majority,0.640676,-0.006484,no
DP,Default-pass side family,Default pass unless 2/3 block,0.723608,Default pass unless 2/3 block,0.723608,0.000000,yes
DPM,Default-pass side family,Default pass + multi-round mediation + challenge,0.687645,Default pass unless 2/3 block,0.723608,-0.035963,no
PORT,Portfolio hybrid,Portfolio hybrid legislature,0.681380,Portfolio hybrid legislature,0.681380,0.000000,yes
